Narration,True Label,Predicted Label,Is Recurring,Salary Probability,Credits
UPI/P2M/101131472120/Policybaz/HDFCBANK/UPI Mand//P2V/,ELECTRONIC FUND TRANSFER,UTILITY,True,0.0,
UPI/P2A/527944122441/UMESH C/UPI/HDFC BANK LTD,ELECTRONIC FUND TRANSFER,E-COMMERCE,False,0.0,
UPI/P2M/521415990053/atri networks  media/Userbi/AXIS  BANK ABR,ELECTRONIC FUND TRANSFER,UTILITY,True,0.0,
UPI/P2A/557810990446/Mr Vijiyan Dhanabal/UPI/INDIAN BANK,ELECTRONIC FUND TRANSFER,UTILITY,True,0.0,
UPI/P2M/521292564921/FLYBOUNCE SPORTSLLP /UPI/YES BANK LIMITED YBS,TRAVEL,ELECTRONIC FUND TRANSFER,False,0.0,
UPI/P2M/289059320204/HDFC FASTagRecharge /Sent u/YES BANK LIMITED YBS,RECHARGE,UTILITY,True,0.0,
UPI/P2M/564499624214/HALLI THOTATARAKARI /UPI/HDFC BANK LTD,ELECTRONIC FUND TRANSFER,E-COMMERCE,False,0.0,
